,index,close
0,0,43.60418768
1,1,366.9529449
2,2,57.20315696
3,3,10.9066339
4,4,10.17971128
5,5,27.69219674
6,6,52.95314702
7,7,289.510587
8,8,8.050783309
9,9,49.48161065
10,10,12.4383201
11,11,33.66122936
12,12,12.91934151
13,13,51.76503288
14,14,38.43950012
15,15,20.37561781
16,16,14.76768022
17,17,30.84469576
18,18,10.78063938
19,19,34.4341329
20,20,113.6368428
21,21,56.77891776
22,22,35.10399752
23,23,13.625483
24,24,15.72954742
25,25,25.18710171
26,26,27.84170234
